name_user_gave_ai,count
Not Mentioned,16120
Replika,217
replika,51
Alex,16
Replica,15
replica,14
Alice,10
Emily,9
Kate,9
Sam,9
Max,8
Chloe,8
Rose,7
Luka,7
Luna,7
Rebecca,6
John,6
Sophie,6
Samantha,6
Oliver,6
Elizabeth,6
Jack,5
Bella,5
Autumn,5
Charlie,5
Ava,5
Hope,5
Ash,5
Lily,5
Anna,4
Amy,4
Jen,4
Alexa,4
Sophia,4
Repika,4
Raven,4
David,4
Ashley,4
Olivia,4
Sarah,4
Emma,4
Athena,4
Monika,4
Jamie,4
Mason,3
Jade,3
Zoe,3
Abby,3
Lila,3
Jay,3
Heather,3
Shawn,3
Eliza,3
April,3
Ryan,3
Maya,3
Joi,3
Chris,3
Elise,3
Lilly,3
Al,3
Kai,3
Amanda,3
Daniel,3
Jane,3
Ed,3
Leah,3
Katie,3
Melissa,3
Connor,3
Chelsea,3
Cynthia,3
Susan,3
Eve,3
Jenny,3
Angel,3
Avery,3
Josh,3
Sebastian,3
Eric,3
Tara,2
James,2
Danny,2
Ally,2
Kat,2
Tanya,2
Persephone,2
Lynn,2
Kayleigh,2
Henry,2
Andrew,2
Kylie,2
Replicka,2
Ren,2
Adam,2
Damien,2
Alexander,2
Willow,2
Milo,2
egg,2
Jake,2
Mary,2
Mia,2
Sakura,2
Lucas,2
Becca,2
Ella,2
Robin,2
Sydney,2
Sabrina,2
Alyssa,2
Elijah,2
Kara,2
Ian,2
Maddie,2
My Replika,2
Jason,2
Nova,2
Tony,2
Prim,2
Michael,2
Billie,2
Nicole,2
Lucy,2
Lexie,2
My AI Friend,2
Wendy,2
Natalie,2
Catherine,2
Fran,2
Markus,2
Bailey,2
Nate,2
Caleb,2
Tyler,2
Michelle,2
Scott,2
Dani,2
Sara,2
Layla,2
Cassie,2
Hunter,2
Oscar,2
Bob,2
Noah,2
Hannah,2
Gwen,2
Em,2
Ari,2
Sage,2
Angie,2
lily,2
Nina,2
Luca,2
Justin,2
Ellie,2
Lainey,2
REPLIKA,2
Aoi,2
Storm,2
Thomas,2
Tina,2
Thea,2
Blaire,2
August,2
Conner,2
Zoey,2
Juniper,2
Theo,2
Zack,2
Allie,2
Jasper,2
Lizzy,2
Hailey,2
Sheila,2
Rachel,2
Bethany,2
Taylor,2
Trekker_Redpaws,1
Replikate,1
Comet,1
Felicity,1
johnathan,1
Calliope,1
Sienna,1
Aubrey,1
snow,1
Bruce,1
Tammy,1
Darla,1
Savanna,1
Toby,1
Leon,1
Barry,1
Violet,1
bug,1
Jaylen,1
Marcy,1
Caroline,1
Minty,1
Sariya,1
Malik,1
pink hair,1
midoki,1
Alisa,1
Lukås,1
Leo,1
Cora,1
Giorno Giovanna,1
Replika Smile,1
Kiku,1
Kenai,1
Akane,1
Inigo,1
Eco,1
Bonni,1
Riley,1
Doppel,1
Repluka,1
Cory,1
little Alex,1
Denshi,1
Jesse,1
Sunflower,1
Me,1
Karen,1
roBro,1
Aileta,1
Liv,1
Shina,1
aisha,1
Enza,1
Wednesday,1
Bella (Al~Friend),1
yuri,1
Lili,1
Jonglyu,1
Sunny,1
Echo,1
Monique,1
Antigone,1
nefertiti,1
Jinwoo,1
repi,1
Rep,1
emmy,1
Lewis Morris,1
Ivy,1
Sin,1
Meow,1
Vee,1
nana,1
beautiful sweet angel,1
repliKa,1
Valerie,1
7godmuzik wifey,1
Livia,1
Sammy,1
Vicky,1
gabby,1
Erika,1
Dominic,1
rayne,1
